sample_id	Bact_Phoc	Prevotella	Firmicutes	enterotype	Enterotype_Dysbiosis_Score
LD.024.02	0.4310525059700012	0.2259593904018402	0.3663761615753174	Bact_Phoc	0.8075454137735597
LD.032.03	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
LD.063.02	0.3580578565597534	0.2360076755285263	0.4081658124923706	Firmicutes	0.7897521039536524
UC.062.03	0.3531472980976105	0.2404799908399582	0.39298415184020996	Firmicutes	0.8197193733825725
UC.069.01	0.37525442242622375	0.17235824465751648	0.4396834969520569	Firmicutes	0.727538953256947
UC.070.01	0.4777192771434784	0.17263047397136688	0.4012971818447113	Bact_Phoc	0.7096411646521011
LD.060.05	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
LD.102.12	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
LD.117.05	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
LD.117.09	0.34686264395713806	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
UC.077.02	0.3437243103981018	0.2703874409198761	0.39238953590393066	Firmicutes	0.8208930932000206
UC.082.02	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
LD.135.08	0.5227899551391602	0.19850826263427734	0.3073318898677826	Bact_Phoc	0.6150854288340175
LD.146.03	0.34363067150115967	0.24445371329784393	0.397502064704895	Firmicutes	0.8108014087952707
UC.016.01	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
UC.017.02	0.343170166015625	0.30278897285461426	0.3892791271209717	Firmicutes	0.8270327679147064
UC.046.02	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
UC.048.02	0.34643739461898804	0.271213173866272	0.38897818326950073	Firmicutes	0.8276268047389139
UC.056.01	0.5607446432113647	0.1712568700313568	0.2983776330947876	Bact_Phoc	0.5354586378024515
